original_column_name,column_name,column_description,data_format,value_description
trans_id,transaction id,transaction id,integer,
account_id,,,integer,
date,date of transaction,date of transaction,date,
type,+/- transaction,+/- transaction,text,"""PRIJEM"" stands for credit
""VYDAJ"" stands for withdrawal"
operation,mode of transaction,mode of transaction,text,"""VYBER KARTOU"": credit card withdrawal
""VKLAD"": credit in cash
""PREVOD Z UCTU"" :collection from another bank
""VYBER"": withdrawal in cash
""PREVOD NA UCET"": remittance to another bank"
amount,amount of money,amount of money,integer,Unit：USD
balance,balance after transaction,balance after transaction,integer,Unit：USD
k_symbol,characterization of the transaction,,text,"""POJISTNE"": stands for insurrance payment
""SLUZBY"": stands for payment for statement
""UROK"": stands for interest credited
""SANKC. UROK"": sanction interest if negative balance
""SIPO"": stands for household
""DUCHOD"": stands for old-age pension
""UVER"": stands for loan payment"
bank,bank of the partner,,text,each bank has unique two-letter code
account,account of the partner,,integer,
